Name	Start	Duration	Time Format	Type	Description
Gaan de spiegelmicroben alle leven op aarde uitroeien	1:04.983	0:00.000	decimal	Cue	
Dokters wekken dode hersenen tot leven	10:45.257	0:00.000	decimal	Cue	
Kwantumchip Willow	19:29.912	0:00.000	decimal	Cue	
Kan quantum computing de blockchain breken?	28:19.494	0:00.000	decimal	Cue	
Motten vermijden planten die aan het bleiten zijn	30:30.907	0:00.000	decimal	Cue	
Kleine robot kidnapt 12 andere robots in Japan	35:38.401	0:00.000	decimal	Cue	
Hoe zou het nog zijn met onze gestrande ISS astronauten?	41:19.173	0:00.000	decimal	Cue	
Het stinkt in het ISS, en het is de schuld van de Russen	44:58.789	0:00.000	decimal	Cue	
NASA bouwt nieuwe Mars-helicopter	49:02.724	0:00.000	decimal	Cue	
Stijn Ilsen was vluchtleider van de Proba-3 lancering!	51:11.450	0:00.000	decimal	Cue	
Amerikanen zien plots overal drones	56:11.316	0:00.000	decimal	Cue	
Senator post foto van TIE Fighter	58:03.605	0:00.000	decimal	Cue	
AI NIEUWS	1:00:00.531	0:00.000	decimal	Cue	
Google lanceert Mariner AI agent	1:00:55.178	0:00.000	decimal	Cue	
Bedrijf Artisan maakt reclame voor AI-werknemers	1:02:11.810	0:00.000	decimal	Cue	
Google bril maakt gebruik van AI agent	1:04:03.614	0:00.000	decimal	Cue	
Meest gestegen aandeel door AI revolutie	1:06:00.172	0:00.000	decimal	Cue	
Uber biedt nu ook jobkes aan als AI labeler	1:07:36.786	0:00.000	decimal	Cue	
ChatGPT crasht bij David Mayer	1:09:23.507	0:00.000	decimal	Cue	
SILICON VALLEY NEWS	1:13:10.231	0:00.000	decimal	Cue	
Tesla huurt menselijke operatoren om robotaxis te bedienen	1:13:26.889	0:00.000	decimal	Cue	
Trump wil miljardairswet	1:17:06.254	0:00.000	decimal	Cue	
Orka’s dragen weer dode zalmen als hoed	1:19:00.749	0:00.000	decimal	Cue	
Pastoor neemt flat earthers mee naar Antarctica	1:23:14.741	0:00.000	decimal	Cue	
Comedy Wildlife photos uitgereikt	1:29:57.083	0:00.000	decimal	Cue	
Japanse robot bouwt zwermen van robot kakkerlakken	1:32:31.127	0:00.000	decimal	Cue	
De Queen of Shitty Robots bouwt iets nuttigs	1:37:41.300	0:00.000	decimal	Cue	
Medicijn doet nieuwe tanden groeien	1:41:50.458	0:00.000	decimal	Cue	
Bultrug zwemt de wereld rond op zoek naar liefde	1:45:20.270	0:00.000	decimal	Cue	
HIV-prep Lenacapavir is wetenschappelijke doorbraak van 2024	1:47:24.455	0:00.000	decimal	Cue	
VLIZ en KULeuven spelen sleutelrol in UNESCO eDNA onderzoek	1:52:14.903	0:00.000	decimal	Cue	
De kerstpuzzel van Defensie is er	1:54:10.389	0:00.000	decimal	Cue	
RECALLS	1:58:50.953	0:00.000	decimal	Cue	
Terugkomen op Zimbardo / Stanford Prison	1:59:17.197	0:00.000	decimal	Cue	
Waarom hebben we geen video-podcast?	2:00:19.554	0:00.000	decimal	Cue	
Doen we een Gouden Jas verkiezing dit jaar?	2:00:57.227	0:00.000	decimal	Cue	
Lieven gaat naar Kennedy Space Center eind januari. Luisteraars in de buurt?	2:02:55.682	0:00.000	decimal	Cue	
EIGEN PROMO	2:04:26.044	0:00.000	decimal	Cue	
Tickets voor kleine nerds 2025 op nerdland.be, 23 december 13u30 en 17u	2:04:36.574	0:00.000	decimal	Cue	
Boek: bier?!	2:05:18.551	0:00.000	decimal	Cue	
Op 10 januari is Lieven's AI show te zien op VTM! Lange versie op vtmgo	2:05:45.452	0:00.000	decimal	Cue	
Nerdland scheurkalender op nerdland.be	2:07:07.318	0:00.000	decimal	Cue	
Missie 2024 loopt nog tot begin april	2:07:14.692	0:00.000	decimal	Cue	
Jeroen doet nog lezingen over A.I.	2:08:02.697	0:00.000	decimal	Cue	
Lieven AI optredens in Nederland	2:08:45.188	0:00.000	decimal	Cue	
En op 18 februari op het Norwich Science Festival in Norwich UK 	2:08:59.144	0:00.000	decimal	Cue	
AI tentoonstelling Technopolis geopend	2:11:37.311	0:00.000	decimal	Cue	
Sponsor Ray & Jules koffie	2:13:48.486	0:00.000	decimal	Cue	
